title,artist,year,Predicted_Genre,True_Genre,file_path
Calling My Spirit,Kodak Black,2019,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/ppSY98RGyBU - Kodak Black - Calling My Spirit [Official Video].mp3
Interaksi,Tulus,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/GIy9ZbH0sHo - TULUS - Interaksi (Official Lyric Video).mp3
Stuck with U,Ariana Grande,2024,Pop,Pop,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/h2jvHynuMjI - Ariana Grande, Justin Bieber - Stuck with U (Lyric Video).mp3"
Pilihan Yang Terbaik,Ziva Magnolya,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/p8y3b2hAXxY - Ziva Magnolya - Pilihan Yang Terbaik (Official Lyric Video).mp3
Bertaut,Nadin Amizah,2022,Indie,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/uEwQtDZjFKs - Nadin Amizah - Bertaut (Official Lyric Video).mp3
Siapkah Kau 'Tuk Jatuh Cinta Lagi,HIVI!,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/kX1O93X77d4 - HIVI! - Siapkah Kau 'Tuk Jatuh Cinta Lagi (Official Lyric Video).mp3
New Rules,Dua Lipa,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/AyWsHs5QdiY - Dua Lipa - New Rules (Official Lyric Video).mp3
Shape of You,Ed Sheeran,2019,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/_dK2tDK9grQ - Ed Sheeran - Shape Of You [Official Lyric Video].mp3
About You,The 1975,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/tGv7CUutzqU - The 1975 - About You (Official).mp3
Stuck with U,Ariana Grande,2025,Pop,Pop,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/h2jvHynuMjI - Ariana Grande, Justin Bieber - Stuck with U (Lyric Video).mp3"
Sisa Rasa,Mahalini,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/Wh66ThpxvI4 - MAHALINI - SISA RASA (OFFICIAL MUSIC VIDEO).mp3
Unholy,Sam Smith,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/7QXDnWRy6MI - Sam Smith - Unholy (ft. Kim Petras) (Lyric Video).mp3
Eastside,benny blanco,2019,Pop,Pop,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/56WBK4ZK_cw - benny blanco, Halsey & Khalid – Eastside (official video).mp3"
Rumah Singgah,Fabio Asher,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/RCYHpwtvqrE - Rumah Singgah.mp3
Broccoli (feat. Lil Yachty),DRAM,2017,R&B,R&B,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/K44j-sb1SRY - DRAM - Broccoli feat. Lil Yachty (Official Music Video).mp3
Now I Know,Kaleb J,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/Y2ciL0Vqe5Q - Kaleb J - Now I Know (Official Lyric Video).mp3
Sisa Rasa,Mahalini,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/Wh66ThpxvI4 - MAHALINI - SISA RASA (OFFICIAL MUSIC VIDEO).mp3
Rumah Ke Rumah,Hindia,2021,Indie,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/pjhOjHDX0A8 - Hindia - Rumah Ke Rumah (​Official Lyric & Commentary Video).mp3
no song without you,HONNE,2020,R&B,R&B,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/WXOlNBDVt0o - HONNE - no song without you.mp3
Locked Out of Heaven,Bruno Mars,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/e-fA-gBCkj0 - Bruno Mars - Locked Out Of Heaven (Official Music Video).mp3
Lama-Lama,Bernadya,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/-HdxWBRV86w - Bernadya - Lama-Lama (Official Video).mp3
Mati-Matian,Mahalini,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/LAOxuo6pkdo - MAHALINI - MATI MATIAN (OFFICIAL MUSIC VIDEO).mp3
"thank u, next",Ariana Grande,2025,Pop,Pop,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/5OeR5XBEahU - Ariana Grande - thank u, next (audio).mp3"
Kenangan Manis,Pamungkas,2020,Indie,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/0PmHpgFhy8E - Pamungkas - Kenangan Manis (Lyrics Video).mp3
Paris,The Chainsmokers,2017,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/RhU9MZ98jxo - The Chainsmokers - Paris (Official Lyric Video).mp3
positions,Ariana Grande,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/xuOOAQoDKN0 - positions.mp3
ELEVEN,IVE,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/e91HyUPLaMM - ELEVEN.mp3
Don’t Matter To Me,Drake,2018,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/EQHnjOHvcpg - Don’t Matter To Me.mp3
DARARI,TREASURE,2022,Country,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/iqH-TkQ6CyM - TREASURE (트레저) - 다라리 (DARARI) (Audio).mp3
bury a friend,Billie Eilish,2019,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/0Q9bOvwKegM - Billie Eilish - bury a friend (Audio).mp3
It's You,Ali Gatie,2020,R&B,R&B,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/PXGycbkbtW0 - Ali Gatie - It's You (Official Lyrics Video).mp3
One Of The Girls,The Weeknd,2024,R&B,R&B,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/f1r0XZLNlGQ - The Weeknd, JENNIE & Lily Rose Depp - One Of The Girls (Official Audio).mp3"
"thank u, next",Ariana Grande,2025,Pop,Pop,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/5OeR5XBEahU - Ariana Grande - thank u, next (audio).mp3"
One Only,Pamungkas,2021,Indie,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/dBFp0Ext0y8 - Pamungkas - One Only (Lyrics Video).mp3
On My Way,Alan Walker,2020,Pop,Pop,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/dhYOPzcsbGM - Alan Walker, Sabrina Carpenter & Farruko  - On My Way.mp3"
Dirt on My Boots,Jon Pardi,2017,Country,Country,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/gCxbgqyC2Wg - Jon Pardi - Dirt On My Boots (Official Lyric Video).mp3
Tunnel Vision,Kodak Black,2017,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/YE93dD6jjoU - Kodak Black   Tunnel Vision.mp3
Faded,Alan Walker,2016,Electronic,Electronic,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/psn_rs_a5O0 - Alan Walker - Faded (Audio).mp3
Seven,Jung Kook,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/XS48lWkH84Q - Jung Kook - Seven (Explicit Ver.) [Audio].mp3
Sahabat Dulu (From Layangan Putus),Prinsa Mandagie,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/RWinOPg_Rcg - Sahabat Dulu (From Layangan Putus).mp3
All I Ask,Adele,2016,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/D7kHN7GKdu8 - Adele - All I Ask.mp3
Ric Flair Drip,Offset,2018,Soul,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/OwbI9IY9Roo - Offset & Metro Boomin  - ＂Ric Flair Drip＂ (Official Audio).mp3
All Too Well (10 Minute Version) [Taylor's Version] [From The Vault],Taylor Swift,2025,Country,Country,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/sRxrwjOtIag - All Too Well (10 Minute Version) (Taylor's Version) (From The Vault) (Lyric Video).mp3
Heat Waves,Glass Animals,2022,Indie,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/KT7F15T9VBI - Glass Animals - Heat Waves (Lyrics).mp3
Belum Siap Kehilangan,Stevan Pasaribu,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/0ru5Ox8f_vs - Stevan Pasaribu - Belum Siap Kehilangan (Official Music Video).mp3
Black Swan,BTS,2020,R&B,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/TXYUhWdXt7k - BTS - Black Swan (Audio).mp3
Speechless,Dan + Shay,2019,Pop,Country,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/o_bIMTtl8X8 - Dan + Shay - Speechless (Icon Video).mp3
Style,Taylor Swift,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/66TQBtlRKc4 - Taylor Swift - Style (Audio).mp3
Jocelyn Flores,XXXTENTACION,2018,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/FAucVNRx_mU - XXXTENTACION - Jocelyn Flores (Audio).mp3
Tanpa Cinta,Yovie Widianto,2025,Pop,Pop,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2025/93YDqv3KBUs - Yovie Widianto, Tiara Andini - Tanpa Cinta (Official Music Video).mp3"
In My Feelings,Drake,2018,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/SD1tkI5-3dI - In My Feelings.mp3
To the Bone,Pamungkas,2022,Indie,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/oIYWenB637c - Pamungkas - To The Bone (Official Music Video).mp3
Location Unknown (feat. BEKA) [Brooklyn Session],HONNE,2021,Pop,R&B,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/btIQvYcLNoI - HONNE - Location Unknown ◐ (feat. BEKA) (Brooklyn Session).mp3
Somebody,Natalie La Rose,2015,Pop,R&B,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/PD0hHwbunXI - Aziz Hedra - Somebody’s Pleasure (Official Audio).mp3
Don't Start Now,Dua Lipa,2020,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/xjiYBGs0TUA - Dua Lipa - Don't Start Now (Official Lyrics Video).mp3
Bodak Yellow,Cardi B,2018,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/PEGccV-NOm8 - Cardi B - Bodak Yellow [OFFICIAL MUSIC VIDEO].mp3
One Last Time,Ariana Grande,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/Wg92RrNhB8s - Ariana Grande - One Last Time (Official Lyric Video).mp3
Asmalibrasi,Soegi Bornean,2022,Indie,Indie,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/cQGfLDnmWS8 - Soegi Bornean - Asmalibrasi (Official Music Video).mp3
FRIENDS,Marshmello,2018,Electronic,Electronic,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/CY8E6N5Nzec - Marshmello & Anne-Marie - FRIENDS (Lyric Video) ＊OFFICIAL FRIENDZONE ANTHEM＊.mp3
On My Mind,Ellie Goulding,2015,Hip Hop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/zFW5-ABDC-8 - YNW Melly - Murder On My MInd (Audio).mp3
Sorry,Justin Bieber,2016,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/8ELbX5CMomE - Justin Bieber - Sorry (Lyric Video).mp3
Lantas,Juicy Luicy,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/ba-XAIskH_g - Juicy Luicy - Lantas (Official Lyric Video).mp3
Cruel Summer,Taylor Swift,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/ic8j13piAhQ - Taylor Swift - Cruel Summer (Official Audio).mp3
Ride,twenty one pilots,2016,Rock,Rock,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/Pw-0pbY9JeU - twenty one pilots - Ride (Official Video).mp3
Someone You Loved,Lewis Capaldi,2019,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/xrcMgO2fgpA - Lewis Capaldi - Someone You Loved (Official Audio).mp3
Love on the Brain,Rihanna,2017,Soul,Soul,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/NsW5uu_w1A0 - Love On The Brain.mp3
Soulmate,Kahitna,2025,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2025/cpqMU8XeyxY - Kahitna - Soulmate (Official Lyric Video).mp3
My Universe,Coldplay,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/bZYPI4mYwhw - Coldplay X BTS - My Universe (Official Lyric Video).mp3
Stitches,Shawn Mendes,2015,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/PQOdz2O4BfI - Shawn Mendes - Stitches.mp3
Flowers,Miley Cyrus,2023,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/SWpAYbgHmTo - Miley Cyrus - Flowers (Official Audio).mp3
goosebumps,Travis Scott,2017,Hip Hop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/_9XaXHD3680 - Travis Scott - goosebumps (Lyrics) ft. Kendrick Lamar.mp3
drivers license,Olivia Rodrigo,2022,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/tNJhkrpLGT8 - drivers license.mp3
Rayu,Marion Jola,2020,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/LqJ_J7CdgMc - Marion Jola - Rayu (Official Lyric Video).mp3
Tanpa Rasa Bersalah,Fabio Asher,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/3ef_LJcM7WE - Fabio Asher - Tanpa Rasa Bersalah (Official Lyric Video ).mp3
good 4 u,Olivia Rodrigo,2021,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/aeDdS9aIpck - good 4 u.mp3
Hilang Tanpa Bilang,Meiska,2024,Pop,Pop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/oyyqQHaJflY - Meiska - Hilang Tanpa Bilang (Official Audio).mp3
My Way,Calvin Harris,2016,Electronic,Electronic,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/KSbxm6wMcDI - Calvin Harris - My Way.mp3
See You Again (feat. Charlie Puth),Wiz Khalifa,2016,Pop,Hip Hop,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/xl8thVrlvjI - See You Again (feat. Charlie Puth).mp3
