title,artist,year,Predicted_Genre,True_Genre,Confidence,Is_Correct,file_path,aug
Sanctuary,Joji,2022,Soul,Soul,0.55478585,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/ZEY9UCzzbcQ - Sanctuary.mp3,pitch
I'm the One (feat. Justin Bieber. Quavo. Chance the Rapper & Lil Wayne),DJ Khaled,2017,Hip Hop,Hip Hop,0.81522226,True,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/158plNHX4vw - DJ Khaled - I'm the One ft. Justin Bieber, Chance the Rapper, Lil Wayne (Lyrics ⧸ Lyric Video).mp3",pitch
Peaches (feat. Daniel Caesar & GIVĒON),Justin Bieber,2022,Pop,Pop,0.9654493,True,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/tQ0yjYUFKAE - Justin Bieber - Peaches ft. Daniel Caesar, Giveon.mp3",none
All Time Low,Jon Bellion,2017,Pop,Pop,0.98415136,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/G8_HqSbOw_M - Jon Bellion - All Time Low (Audio).mp3,pitch
Ayat Kursi,Muzammil Hasballah,2023,Pop,Soul,0.44700727,False,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/LO2QPCeKx5U - Ayat kursi MERDU (Muzammil hasballah) LIRIK. LENGKAP text arab, latin, dan terjemahan.mp3",pitch
Stand By You,Rachel Platten,2016,EDM,Pop,0.95416266,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/R4KkBxv0VpY - Rachel Platten - Stand By You (Audio).mp3,none
MONEY,LISA,2022,Hip Hop,Pop,0.84934384,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/vrZA5m4DBr4 - LISA - MONEY [Audio].mp3,noise
I'm Upset,Drake,2018,Hip Hop,Hip Hop,0.99318695,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/wS4ESheuHDY - Drake - I'm Upset (Official Audio).mp3,none
I Love You So,The Walters,2022,EDM,Pop,0.8241073,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/NwFVSclD_uc - The Walters -- I Love You So.mp3,pitch
Blank Space,Taylor Swift,2023,Pop,Pop,0.9568294,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/2mIBS3fHp6A - Taylor Swift - Blank Space (Audio).mp3,noise
Yours (feat. LeeHi & CHANGMO),Raiden,2021,EDM,Pop,0.94317186,False,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/N2dsnGc7TFk - Raiden X 찬열 CHANYEOL 'Yours (Feat. 이하이, 창모)' MV.mp3",pitch
when the party's over,Billie Eilish,2019,Pop,Pop,0.80605036,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/b6WNdcZpDhQ - Billie Eilish - when the party's over (Audio).mp3,noise
Marvin Gaye (feat. Meghan Trainor),Charlie Puth,2016,Pop,Pop,0.89941853,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/igNVdlXhKcI - Charlie Puth - Marvin Gaye ft. Meghan Trainor [Official Video].mp3,noise
Intentions (feat. Quavo),Justin Bieber,2022,Pop,Pop,0.9005941,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/VI8lrXNSLnA - Justin Bieber - Intentions (Official Lyric Video) ft. Quavo.mp3,pitch
God's Plan,Drake,2018,Pop,Hip Hop,0.68935275,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/m1a_GqJf02M - God's Plan.mp3,pitch
My Way,Calvin Harris,2016,Hip Hop,EDM,0.8749996,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/KSbxm6wMcDI - Calvin Harris - My Way.mp3,pitch
Bawa Dia Kembali,Mahalini,2023,Pop,Pop,0.76706624,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2025/dq2i49uwEJg - MAHALINI - BAWA DIA KEMBALI #FABULA (VIDEO LIRIK) LIRIK LAGU TERBARU.mp3,noise
Sneakin' (feat. 21 Savage),Drake,2017,Hip Hop,Hip Hop,0.9914784,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/WNW1xRqbt94 - Drake - Sneakin' ft. 21 Savage (Official Video).mp3,pitch
abcdefu,GAYLE,2022,Pop,Pop,0.99135184,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/NaFd8ucHLuo - GAYLE - abcdefu (Official Music Video).mp3,none
HEARTBREAK ANNIVERSARY,GIVĒON,2021,R&B,R&B,0.858611,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/nja_0BaQcNg - GIVĒON - Heartbreak Anniversary (Audio).mp3,noise
Rumah Singgah,Fabio Asher,2023,Pop,Pop,0.9758243,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/RCYHpwtvqrE - Rumah Singgah.mp3,none
Please Me,Cardi B,2019,Pop,Hip Hop,0.49035558,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/4FitbJ3oqww - Cardi B & Bruno Mars - Please Me (Official Audio).mp3,pitch
I Fall Apart,Post Malone,2018,Pop,Hip Hop,0.5582852,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/nqfVoTMEosw - I Fall Apart.mp3,none
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,2017,Hip Hop,Pop,0.76697326,False,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/fyaI4-5849w - DJ Khaled - Wild Thoughts (Official Video) ft. Rihanna, Bryson Tiller.mp3",none
How to Love (feat. Sofia Reyes),Cash Cash,2016,EDM,EDM,0.984446,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/peByeoQhjMM - Cash Cash - How To Love ft Sofia Reyes (Official Video).mp3,pitch
Secret Love Song (feat. Jason Derulo),Little Mix,2016,Pop,Pop,0.95731556,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/qgy7vEje5-w - Little Mix - Secret Love Song (Official Video) ft. Jason Derulo.mp3,pitch
Shape of You,Ed Sheeran,2019,Pop,Pop,0.9926797,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/_dK2tDK9grQ - Ed Sheeran - Shape Of You [Official Lyric Video].mp3,pitch
Till It Hurts (feat. Ayden),Yellow Claw,2016,EDM,EDM,0.49425402,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/0tHH0BNH0Sc - Yellow Claw - Till It Hurts ft. Ayden [Official Music Video].mp3,noise
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,2016,EDM,Rock,0.7346832,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/OxPv8mSTv9U - Maroon 5 - Don't Wanna Know ft. Kendrick Lamar (Audio).mp3,noise
Youngblood,5 Seconds of Summer,2018,Pop,Rock,0.34697464,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/CXNv4_wQjKQ - Youngblood.mp3,noise
Glimpse of Us,Joji,2023,Pop,Pop,0.55263275,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/FvOpPeKSf_4 - Joji -  Glimpse of Us.mp3,noise
Thinking out Loud,Ed Sheeran,2015,Pop,Pop,0.9233747,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/WpyfrixXBqU - Ed Sheeran - Thinking Out Loud [Official Audio].mp3,none
Thinking Out Loud,Ed Sheeran,2022,Pop,Pop,0.9233747,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/WpyfrixXBqU - Ed Sheeran - Thinking Out Loud [Official Audio].mp3,none
7 rings,Ariana Grande,2019,Pop,Pop,0.5461701,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/M84fFXooS5w - Ariana Grande - 7 rings (Official Audio).mp3,pitch
Pesan Terakhir,Lyodra,2022,Pop,Pop,0.9175426,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2025/_7CX0hTDRtU - Lyodra - Pesan Terakhir (Official Lyric Video).mp3,noise
High School in Jakarta,NIKI,2022,Pop,R&B,0.8091175,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/oMqcb16umH0 - NIKI - High School In Jakarta (Official Lyric Video).mp3,noise
All Too Well (10 Minute Version) [Taylor's Version] [From The Vault],Taylor Swift,2022,Indie,Country,0.3421573,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/sRxrwjOtIag - All Too Well (10 Minute Version) (Taylor's Version) (From The Vault) (Lyric Video).mp3,pitch
Lucid Dreams,Juice WRLD,2019,Pop,Pop,0.9807318,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/onbC6N-QGPc - Juice WRLD ＂Lucid Dreams (Forget Me)＂ (Official Audio).mp3,pitch
Sucker,Jonas Brothers,2019,Rock,Rock,0.93864065,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/3tF6o67d45c - Jonas Brothers - Sucker (Audio Oficial).mp3,pitch
To the Bone,Pamungkas,2022,Indie,Indie,0.40370807,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/oIYWenB637c - Pamungkas - To The Bone (Official Music Video).mp3,noise
Love Me Like You Do,Ellie Goulding,2016,Pop,Pop,0.7777896,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/725WlG1idPc - Ellie Goulding - Love Me Like You Do (Official Audio).mp3,none
Dynamite,BTS,2021,Pop,Pop,0.99544394,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/OiMWFojB9Ok - BTS (방탄소년단) - DYNAMITE (Official Audio).mp3,none
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,2018,Pop,Hip Hop,0.96348906,False,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/fyaI4-5849w - DJ Khaled - Wild Thoughts (Official Video) ft. Rihanna, Bryson Tiller.mp3",pitch
Secret Love Song (feat. Jason Derulo),Little Mix,2016,Pop,Pop,0.9860064,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/qgy7vEje5-w - Little Mix - Secret Love Song (Official Video) ft. Jason Derulo.mp3,none
Leave The Door Open,Silk Sonic,2021,Soul,Soul,0.86377376,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/wIyNAsmGrl0 - Leave the door open.mp3,none
traitor,Olivia Rodrigo,2021,Pop,Pop,0.8501128,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2024/6tsu2oeZJgo - Olivia Rodrigo - traitor (Lyric Video).mp3,noise
Best Part (feat. H.E.R.),Daniel Caesar,2021,Pop,R&B,0.6297697,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2020/vBy7FaapGRo - Daniel Caesar - Best Part (Audio) ft. H.E.R..mp3,none
Treat You Better,Shawn Mendes,2016,Pop,Pop,0.8399887,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/eiG_DUXD8YQ - Shawn Mendes - Treat You Better (Audio).mp3,pitch
I Get the Bag (feat. Migos),Gucci Mane,2018,Hip Hop,Hip Hop,0.6922337,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/uo14xGYwWd4 - Gucci Mane - I Get The Bag feat. Migos [Official Music Video].mp3,pitch
double take,Dhruv,2021,Hip Hop,R&B,0.48823348,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/uQiF1yOnzDg - Dhruv - double take (Official Audio).mp3,pitch
Nights Like This (feat. Ty Dolla $ign),Kehlani,2019,R&B,R&B,0.8408217,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/SK-Aoa5Ixyk - Kehlani - Nights Like This (Lyrics) ft. Ty Dolla $ign.mp3,noise
Versace On The Floor,Bruno Mars,2021,R&B,R&B,0.5393551,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/-FyjEnoIgTM - Bruno Mars - Versace on the Floor (Official Music Video).mp3,none
good 4 u,Olivia Rodrigo,2021,Pop,Pop,0.70332295,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/aeDdS9aIpck - good 4 u.mp3,none
One Last Time,Ariana Grande,2015,Pop,Pop,0.96146774,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/Wg92RrNhB8s - Ariana Grande - One Last Time (Official Lyric Video).mp3,none
Intentions (feat. Quavo),Justin Bieber,2021,Hip Hop,Pop,0.95487225,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/VI8lrXNSLnA - Justin Bieber - Intentions (Official Lyric Video) ft. Quavo.mp3,noise
Melawan Restu,Mahalini,2022,Pop,Pop,0.89382315,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/Svz5F8J1Ap0 - MAHALINI - MELAWAN RESTU (OFFICIAL MUSIC VIDEO).mp3,noise
Never Recover,Lil Baby,2019,Hip Hop,Hip Hop,0.9806113,True,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/Hsy4UEBSO44 - Lil Baby, Gunna, Drake - Never Recover (Official Audio).mp3",none
We Don’t Talk Anymore (feat. Selena Gomez),Charlie Puth,2016,Pop,Pop,0.91295785,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/Pvcc5yEPpTc - Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) (Audio).mp3,noise
ELEVEN,IVE,2022,Pop,Pop,0.8302341,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/e91HyUPLaMM - ELEVEN.mp3,none
Candy Paint,Post Malone,2018,Pop,Hip Hop,0.9398471,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/qtgf-sidZrU - Candy Paint.mp3,noise
See You Again (feat. Charlie Puth),Wiz Khalifa,2015,Pop,Pop,0.920485,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/xl8thVrlvjI - See You Again (feat. Charlie Puth).mp3,noise
Stay,Zedd,2017,EDM,EDM,0.5237212,True,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/h--P8HzYZ74 - Zedd, Alessia Cara - Stay (Lyric Video).mp3",noise
Faded,Alan Walker,2016,Pop,EDM,0.99094945,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/psn_rs_a5O0 - Alan Walker - Faded (Audio).mp3,pitch
double take,Dhruv,2021,R&B,R&B,0.9291923,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/uQiF1yOnzDg - Dhruv - double take (Official Audio).mp3,none
Pesan Terakhir,Lyodra,2021,Pop,Pop,0.99560344,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2025/_7CX0hTDRtU - Lyodra - Pesan Terakhir (Official Lyric Video).mp3,pitch
a lot,21 Savage,2019,Hip Hop,Hip Hop,0.9754852,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/VbrEsOLu75c - 21 Savage - A Lot (Official Audio).mp3,noise
Pink Venom,BLACKPINK,2023,Pop,Hip Hop,0.39018634,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/3or3dp3qNQU - BLACKPINK - ‘Pink Venom’ (Official Audio).mp3,noise
The Hills,The Weeknd,2015,R&B,R&B,0.88377476,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/Rif-RTvmmss - The Weeknd - Starboy (Audio) ft. Daft Punk.mp3,noise
All The Stars,Kendrick Lamar,2018,R&B,R&B,0.69738966,True,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/GfCqMv--ncA - Kendrick Lamar, SZA - All The Stars.mp3",noise
happier,Olivia Rodrigo,2022,Pop,Pop,0.72184503,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/DG8o24dFq7w - Happier Than Ever.mp3,pitch
Blue Jeans,GANGGA,2022,Pop,Indie,0.60606265,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/UzKdy75GqXQ - GANGGA - Blue Jeans (Official Lyric Video).mp3,noise
Bahaya,Arsy Widianto,2022,Pop,Pop,0.76799464,True,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/PcFQF9MtUJY - Arsy Widianto, Tiara Andini - Bahaya (Official Lyric Video).mp3",noise
Hands To Myself,Selena Gomez,2016,Pop,Pop,0.99350303,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2016/N_-RzWTJ8l8 - Selena Gomez - Hands To Myself (Official Audio).mp3,none
Dancing With A Stranger,Sam Smith,2019,Pop,Pop,0.9842794,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/ahCCTVFnnwA - Sam Smith and Normani - Dancing With A Stranger (Audio).mp3,none
Toothbrush,DNCE,2016,Pop,Pop,0.9801751,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/h161leMNOeE - DNCE - Toothbrush (Audio).mp3,none
Stay,Zedd,2017,Indie,EDM,0.36978838,False,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/h--P8HzYZ74 - Zedd, Alessia Cara - Stay (Lyric Video).mp3",pitch
It's You,Sezairi,2022,Pop,Soul,0.556295,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/1ieSEOX5OEE - Sezairi - It's You (Official Audio).mp3,noise
Same Old Love,Selena Gomez,2015,Pop,Pop,0.99670714,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/naKhF6G36rM - Selena Gomez - Same Old Love (Audio).mp3,pitch
Bagaimana Kalau Aku Tidak Baik Baik Saja,Judika,2022,Pop,Pop,0.78758335,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/MbhsQ17I4io - Judika - Bagaimana Kalau Aku Tidak Baik-Baik Saja ( Official Lyric Video ).mp3,noise
Sunroof,Nicky Youre,2022,Pop,Pop,0.7346022,True,"c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2022/npuA90VN9i8 - Nicky Youre, hey daisy, 24kGoldn - Sunroof (Official Audio).mp3",none
YOSEMITE,Travis Scott,2019,Hip Hop,Hip Hop,0.90570265,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2019/ykMHDKB0-1o - Travis Scott - YOSEMITE (Audio).mp3,none
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,2015,Soul,Pop,0.35159844,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/ShgXkSHMSm0 - Meghan Trainor - Like I'm Gonna Lose You (Official Audio) ft. John Legend.mp3,noise
Love on the Brain,Rihanna,2017,R&B,Pop,0.5987619,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2017/NsW5uu_w1A0 - Love On The Brain.mp3,noise
Akhir Cerita Cinta,Glenn Fredly,2022,Pop,Pop,0.9958591,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2021/dO7TUKGFui8 - Glenn Fredly - Akhir Cerita Cinta (Official Audio).mp3,none
Rumah Singgah,Fabio Asher,2022,Pop,Pop,0.98528165,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/RCYHpwtvqrE - Rumah Singgah.mp3,pitch
Rich & Sad,Post Malone,2018,Hip Hop,Hip Hop,0.96809703,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2018/r3PZv4b97l4 - Rich & Sad.mp3,pitch
Thinking Out Loud,Ed Sheeran,2016,Pop,Pop,0.9233747,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/WpyfrixXBqU - Ed Sheeran - Thinking Out Loud [Official Audio].mp3,none
Serana,For Revenge,2023,Pop,Rock,0.57877654,False,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/bGsMkd8qHWI - For Revenge - Serana (Official Lyric Video).mp3,noise
Menjadi Dia,Tiara Andini,2023,Pop,Pop,0.89702994,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/2023/x8bwxN2Z4BM - Tiara Andini - Menjadi Dia (Official Lyric Video).mp3,noise
Kau Rumahku,Raissa Anggiani,2023,Pop,Pop,0.97436845,True,c:/Users/adief/OneDrive/Dokumen/Semester 5/Data Mining 2/Week 14 (Final Project)/downloads_mp3/all_years/ZjNVi0iY7Ys - Raissa Anggiani (Rai) - Kau Rumahku (Official Audio).mp3,pitch
